Time,Sergio Massa,Javier Milei,Patricia Bullrich,Myriam Bregman,Juan Schiaretti
2023-10-08T20:30:00-03:00,1,6,2,3,2
2023-10-08T20:31:00-03:00,2,9,3,2,2
2023-10-08T20:32:00-03:00,2,9,2,1,3
2023-10-08T20:33:00-03:00,2,8,4,1,1
2023-10-08T20:34:00-03:00,4,7,1,1,2
2023-10-08T20:35:00-03:00,1,7,3,1,2
2023-10-08T20:36:00-03:00,3,8,2,1,1
2023-10-08T20:37:00-03:00,3,9,2,1,4
2023-10-08T20:38:00-03:00,1,9,2,2,4
2023-10-08T20:39:00-03:00,1,8,2,2,1
2023-10-08T20:40:00-03:00,2,11,4,2,2
2023-10-08T20:41:00-03:00,3,8,1,0,2
2023-10-08T20:42:00-03:00,1,8,3,1,1
2023-10-08T20:43:00-03:00,1,11,1,0,1
2023-10-08T20:44:00-03:00,2,7,2,2,2
2023-10-08T20:45:00-03:00,2,5,2,1,1
2023-10-08T20:46:00-03:00,3,7,2,1,1
2023-10-08T20:47:00-03:00,1,4,2,1,1
2023-10-08T20:48:00-03:00,2,4,4,2,2
2023-10-08T20:49:00-03:00,1,8,3,1,2
2023-10-08T20:50:00-03:00,2,10,2,2,2
2023-10-08T20:51:00-03:00,3,11,1,1,1
2023-10-08T20:52:00-03:00,4,12,4,2,2
2023-10-08T20:53:00-03:00,3,8,3,0,1
2023-10-08T20:54:00-03:00,2,8,4,1,1
2023-10-08T20:55:00-03:00,2,7,3,4,2
2023-10-08T20:56:00-03:00,2,12,3,3,1
2023-10-08T20:57:00-03:00,3,12,2,2,2
2023-10-08T20:58:00-03:00,2,8,2,3,3
2023-10-08T20:59:00-03:00,3,11,3,4,2
2023-10-08T21:00:00-03:00,4,10,3,3,2
2023-10-08T21:01:00-03:00,3,8,2,1,2
2023-10-08T21:02:00-03:00,2,9,2,1,1
2023-10-08T21:03:00-03:00,1,9,2,2,1
2023-10-08T21:04:00-03:00,1,8,3,4,3
2023-10-08T21:05:00-03:00,3,15,4,5,2
2023-10-08T21:06:00-03:00,2,20,2,2,1
2023-10-08T21:07:00-03:00,2,12,8,3,13
2023-10-08T21:08:00-03:00,8,15,7,2,42
2023-10-08T21:09:00-03:00,13,11,4,3,9
2023-10-08T21:10:00-03:00,11,10,4,35,7
2023-10-08T21:11:00-03:00,6,14,4,33,5
2023-10-08T21:12:00-03:00,5,9,7,14,5
2023-10-08T21:13:00-03:00,6,8,18,9,4
2023-10-08T21:14:00-03:00,3,10,18,9,6
2023-10-08T21:15:00-03:00,4,7,14,20,19
2023-10-08T21:16:00-03:00,3,13,12,13,37
2023-10-08T21:17:00-03:00,11,15,18,7,13
2023-10-08T21:18:00-03:00,14,9,41,11,49
2023-10-08T21:19:00-03:00,9,11,26,10,100
2023-10-08T21:20:00-03:00,21,11,20,13,99
2023-10-08T21:21:00-03:00,28,14,15,11,35
