Time,Agustín Rossi,Victoria Villarruel
2023-11-08T12:04:00-03:00,0,2
2023-11-08T12:12:00-03:00,0.5,3
2023-11-08T12:20:00-03:00,0,4
2023-11-08T12:28:00-03:00,1,3
2023-11-08T12:36:00-03:00,1,4
2023-11-08T12:44:00-03:00,1,3
2023-11-08T12:52:00-03:00,1,3
2023-11-08T13:00:00-03:00,0.5,3
2023-11-08T13:08:00-03:00,1,3
2023-11-08T13:16:00-03:00,0.5,3
2023-11-08T13:24:00-03:00,1,2
2023-11-08T13:32:00-03:00,1,4
2023-11-08T13:40:00-03:00,0,5
2023-11-08T13:48:00-03:00,0.5,3
2023-11-08T13:56:00-03:00,1,3
2023-11-08T14:04:00-03:00,1,2
2023-11-08T14:12:00-03:00,1,2
2023-11-08T14:20:00-03:00,1,3
2023-11-08T14:28:00-03:00,1,3
2023-11-08T14:36:00-03:00,1,3
2023-11-08T14:44:00-03:00,0.5,2
2023-11-08T14:52:00-03:00,0.5,2
2023-11-08T15:00:00-03:00,1,2
2023-11-08T15:08:00-03:00,1,3
2023-11-08T15:16:00-03:00,0.5,3
2023-11-08T15:24:00-03:00,1,3
2023-11-08T15:32:00-03:00,0.5,2
2023-11-08T15:40:00-03:00,1,2
2023-11-08T15:48:00-03:00,0.5,1
2023-11-08T15:56:00-03:00,0.5,3
2023-11-08T16:04:00-03:00,0.5,2
2023-11-08T16:12:00-03:00,0.5,2
2023-11-08T16:20:00-03:00,0.5,2
2023-11-08T16:28:00-03:00,0.5,2
2023-11-08T16:36:00-03:00,0.5,2
2023-11-08T16:44:00-03:00,1,2
2023-11-08T16:52:00-03:00,1,1
2023-11-08T17:00:00-03:00,0.5,2
2023-11-08T17:08:00-03:00,0.5,1
2023-11-08T17:16:00-03:00,1,2
2023-11-08T17:24:00-03:00,1,2
2023-11-08T17:32:00-03:00,1,2
2023-11-08T17:40:00-03:00,0.5,3
2023-11-08T17:48:00-03:00,1,2
2023-11-08T17:56:00-03:00,0.5,2
2023-11-08T18:04:00-03:00,0.5,2
2023-11-08T18:12:00-03:00,1,2
2023-11-08T18:20:00-03:00,0.5,1
2023-11-08T18:28:00-03:00,1,2
2023-11-08T18:36:00-03:00,1,2
2023-11-08T18:44:00-03:00,0.5,2
2023-11-08T18:52:00-03:00,0.5,2
2023-11-08T19:00:00-03:00,1,3
2023-11-08T19:08:00-03:00,1,2
2023-11-08T19:16:00-03:00,0.5,1
2023-11-08T19:24:00-03:00,1,2
2023-11-08T19:32:00-03:00,1,2
2023-11-08T19:40:00-03:00,1,3
2023-11-08T19:48:00-03:00,1,3
2023-11-08T19:56:00-03:00,1,3
2023-11-08T20:04:00-03:00,1,3
2023-11-08T20:12:00-03:00,1,2
2023-11-08T20:20:00-03:00,5,2
2023-11-08T20:28:00-03:00,4,3
2023-11-08T20:36:00-03:00,1,3
2023-11-08T20:44:00-03:00,1,3
2023-11-08T20:52:00-03:00,2,4
2023-11-08T21:00:00-03:00,3,8
2023-11-08T21:08:00-03:00,2,18
2023-11-08T21:16:00-03:00,2,19
2023-11-08T21:24:00-03:00,2,8
2023-11-08T21:32:00-03:00,3,8
2023-11-08T21:40:00-03:00,2,5
2023-11-08T21:48:00-03:00,2,7
2023-11-08T21:56:00-03:00,11,33
2023-11-08T22:04:00-03:00,12,35
2023-11-08T22:12:00-03:00,20,47
2023-11-08T22:20:00-03:00,16,26
2023-11-08T22:28:00-03:00,24,33
2023-11-08T22:36:00-03:00,20,36
2023-11-08T22:44:00-03:00,19,39
2023-11-08T22:52:00-03:00,48,47
2023-11-08T23:00:00-03:00,27,41
2023-11-08T23:08:00-03:00,20,43
2023-11-08T23:16:00-03:00,20,42
2023-11-08T23:24:00-03:00,27,100
2023-11-08T23:32:00-03:00,35,68
2023-11-08T23:40:00-03:00,24,54
2023-11-08T23:48:00-03:00,20,44
2023-11-08T23:56:00-03:00,13,53
2023-11-09T00:04:00-03:00,13,48
2023-11-09T00:12:00-03:00,13,46
2023-11-09T00:20:00-03:00,9,31
2023-11-09T00:28:00-03:00,12,30
2023-11-09T00:36:00-03:00,11,33
2023-11-09T00:44:00-03:00,7,26
2023-11-09T00:52:00-03:00,7,25
2023-11-09T01:00:00-03:00,9,20
2023-11-09T01:08:00-03:00,6,13
2023-11-09T01:16:00-03:00,7,15
2023-11-09T01:24:00-03:00,5,14
2023-11-09T01:32:00-03:00,7,17
2023-11-09T01:40:00-03:00,6,16
2023-11-09T01:48:00-03:00,6,14
2023-11-09T01:56:00-03:00,3,12
2023-11-09T02:04:00-03:00,6,17
2023-11-09T02:12:00-03:00,7,22
2023-11-09T02:20:00-03:00,10,17
2023-11-09T02:28:00-03:00,8,16
2023-11-09T02:36:00-03:00,6,16
2023-11-09T02:44:00-03:00,7,18
2023-11-09T02:52:00-03:00,7,13
2023-11-09T03:00:00-03:00,4,13
2023-11-09T03:08:00-03:00,5,9
2023-11-09T03:16:00-03:00,8,16
2023-11-09T03:24:00-03:00,2,11
2023-11-09T03:32:00-03:00,2,15
2023-11-09T03:40:00-03:00,2,8
2023-11-09T03:48:00-03:00,6,13
2023-11-09T03:56:00-03:00,2,15
2023-11-09T04:04:00-03:00,4,18
2023-11-09T04:12:00-03:00,4,6
2023-11-09T04:20:00-03:00,5,8
2023-11-09T04:28:00-03:00,6,19
2023-11-09T04:36:00-03:00,0,12
2023-11-09T04:44:00-03:00,6,8
2023-11-09T04:52:00-03:00,4,14
2023-11-09T05:00:00-03:00,8,0
2023-11-09T05:08:00-03:00,13,12
2023-11-09T05:16:00-03:00,3,15
2023-11-09T05:24:00-03:00,5,10
2023-11-09T05:32:00-03:00,5,12
2023-11-09T05:40:00-03:00,7,19
2023-11-09T05:48:00-03:00,4,9
2023-11-09T05:56:00-03:00,5,7
2023-11-09T06:04:00-03:00,5,12
2023-11-09T06:12:00-03:00,2,17
2023-11-09T06:20:00-03:00,4,9
2023-11-09T06:28:00-03:00,3,15
2023-11-09T06:36:00-03:00,5,13
2023-11-09T06:44:00-03:00,3,12
2023-11-09T06:52:00-03:00,4,10
2023-11-09T07:00:00-03:00,4,14
