Time,Agustín Rossi,Victoria Villarruel
2023-11-08 12:04:00,0,2
2023-11-08 12:12:00,0.5,3
2023-11-08 12:20:00,0,4
2023-11-08 12:28:00,1,3
2023-11-08 12:36:00,1,4
2023-11-08 12:44:00,1,3
2023-11-08 12:52:00,1,3
2023-11-08 13:00:00,0.5,3
2023-11-08 13:08:00,1,3
2023-11-08 13:16:00,0.5,3
2023-11-08 13:24:00,1,2
2023-11-08 13:32:00,1,4
2023-11-08 13:40:00,0,5
2023-11-08 13:48:00,0.5,3
2023-11-08 13:56:00,1,3
2023-11-08 14:04:00,1,2
2023-11-08 14:12:00,1,2
2023-11-08 14:20:00,1,3
2023-11-08 14:28:00,1,3
2023-11-08 14:36:00,1,3
2023-11-08 14:44:00,0.5,2
2023-11-08 14:52:00,0.5,2
2023-11-08 15:00:00,1,2
2023-11-08 15:08:00,1,3
2023-11-08 15:16:00,0.5,3
2023-11-08 15:24:00,1,3
2023-11-08 15:32:00,0.5,2
2023-11-08 15:40:00,1,2
2023-11-08 15:48:00,0.5,1
2023-11-08 15:56:00,0.5,3
2023-11-08 16:04:00,0.5,2
2023-11-08 16:12:00,0.5,2
2023-11-08 16:20:00,0.5,2
2023-11-08 16:28:00,0.5,2
2023-11-08 16:36:00,0.5,2
2023-11-08 16:44:00,1,2
2023-11-08 16:52:00,1,1
2023-11-08 17:00:00,0.5,2
2023-11-08 17:08:00,0.5,1
2023-11-08 17:16:00,1,2
2023-11-08 17:24:00,1,2
2023-11-08 17:32:00,1,2
2023-11-08 17:40:00,0.5,3
2023-11-08 17:48:00,1,2
2023-11-08 17:56:00,0.5,2
2023-11-08 18:04:00,0.5,2
2023-11-08 18:12:00,1,2
2023-11-08 18:20:00,0.5,1
2023-11-08 18:28:00,1,2
2023-11-08 18:36:00,1,2
2023-11-08 18:44:00,0.5,2
2023-11-08 18:52:00,0.5,2
2023-11-08 19:00:00,1,3
2023-11-08 19:08:00,1,2
2023-11-08 19:16:00,0.5,1
2023-11-08 19:24:00,1,2
2023-11-08 19:32:00,1,2
2023-11-08 19:40:00,1,3
2023-11-08 19:48:00,1,3
2023-11-08 19:56:00,1,3
2023-11-08 20:04:00,1,3
2023-11-08 20:12:00,1,2
2023-11-08 20:20:00,5,2
2023-11-08 20:28:00,4,3
2023-11-08 20:36:00,1,3
2023-11-08 20:44:00,1,3
2023-11-08 20:52:00,2,4
2023-11-08 21:00:00,3,8
2023-11-08 21:08:00,2,18
2023-11-08 21:16:00,2,19
2023-11-08 21:24:00,2,8
2023-11-08 21:32:00,3,8
2023-11-08 21:40:00,2,5
2023-11-08 21:48:00,2,7
2023-11-08 21:56:00,11,33
2023-11-08 22:04:00,12,35
2023-11-08 22:12:00,20,47
2023-11-08 22:20:00,16,26
2023-11-08 22:28:00,24,33
2023-11-08 22:36:00,20,36
2023-11-08 22:44:00,19,39
2023-11-08 22:52:00,48,47
2023-11-08 23:00:00,27,41
2023-11-08 23:08:00,20,43
2023-11-08 23:16:00,20,42
2023-11-08 23:24:00,27,100
2023-11-08 23:32:00,35,68
2023-11-08 23:40:00,24,54
2023-11-08 23:48:00,20,44
2023-11-08 23:56:00,13,53
2023-11-09 00:04:00,13,48
2023-11-09 00:12:00,13,46
2023-11-09 00:20:00,9,31
2023-11-09 00:28:00,12,30
2023-11-09 00:36:00,11,33
2023-11-09 00:44:00,7,26
2023-11-09 00:52:00,7,25
2023-11-09 01:00:00,9,20
2023-11-09 01:08:00,6,13
2023-11-09 01:16:00,7,15
2023-11-09 01:24:00,5,14
2023-11-09 01:32:00,7,17
2023-11-09 01:40:00,6,16
2023-11-09 01:48:00,6,14
2023-11-09 01:56:00,3,12
2023-11-09 02:04:00,6,17
2023-11-09 02:12:00,7,22
2023-11-09 02:20:00,10,17
2023-11-09 02:28:00,8,16
2023-11-09 02:36:00,6,16
2023-11-09 02:44:00,7,18
2023-11-09 02:52:00,7,13
2023-11-09 03:00:00,4,13
2023-11-09 03:08:00,5,9
2023-11-09 03:16:00,8,16
2023-11-09 03:24:00,2,11
2023-11-09 03:32:00,2,15
2023-11-09 03:40:00,2,8
2023-11-09 03:48:00,6,13
2023-11-09 03:56:00,2,15
2023-11-09 04:04:00,4,18
2023-11-09 04:12:00,4,6
2023-11-09 04:20:00,5,8
2023-11-09 04:28:00,6,19
2023-11-09 04:36:00,0,12
2023-11-09 04:44:00,6,8
2023-11-09 04:52:00,4,14
2023-11-09 05:00:00,8,0
2023-11-09 05:08:00,13,12
2023-11-09 05:16:00,3,15
2023-11-09 05:24:00,5,10
2023-11-09 05:32:00,5,12
2023-11-09 05:40:00,7,19
2023-11-09 05:48:00,4,9
2023-11-09 05:56:00,5,7
2023-11-09 06:04:00,5,12
2023-11-09 06:12:00,2,17
2023-11-09 06:20:00,4,9
2023-11-09 06:28:00,3,15
2023-11-09 06:36:00,5,13
2023-11-09 06:44:00,3,12
2023-11-09 06:52:00,4,10
2023-11-09 07:00:00,4,14
2023-11-09 07:08:00,4,8
2023-11-09 07:16:00,6,15
2023-11-09 07:24:00,4,15
2023-11-09 07:32:00,5,13
2023-11-09 07:40:00,4,10
2023-11-09 07:48:00,5,12
2023-11-09 07:56:00,4,12
2023-11-09 08:04:00,5,10
2023-11-09 08:12:00,4,10
2023-11-09 08:20:00,2,11
2023-11-09 08:28:00,3,12
2023-11-09 08:36:00,3,9
2023-11-09 08:44:00,3,10
2023-11-09 08:52:00,3,10
2023-11-09 09:00:00,3,9
2023-11-09 09:08:00,2,8
2023-11-09 09:16:00,4,10
2023-11-09 09:24:00,3,11
2023-11-09 09:32:00,4,9
2023-11-09 09:40:00,3,9
2023-11-09 09:48:00,3,9
2023-11-09 09:56:00,2,9
2023-11-09 10:04:00,3,9
2023-11-09 10:12:00,3,10
2023-11-09 10:20:00,3,8
2023-11-09 10:28:00,2,8
2023-11-09 10:36:00,2,8
2023-11-09 10:44:00,3,9
2023-11-09 10:52:00,3,8
2023-11-09 11:00:00,3,6
2023-11-09 11:08:00,2,9
2023-11-09 11:16:00,2,9
2023-11-09 11:24:00,2,8
2023-11-09 11:32:00,2,7
2023-11-09 11:40:00,2,7
2023-11-09 11:48:00,2,8
2023-11-09 11:56:00,0,7
