comuna	JUNTOS POR EL CAMBIO	UNION POR LA PATRIA	LA LIBERTAD AVANZA	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	HACEMOS POR NUESTRO PAIS	Diferencia	Gano
1	39.13	32.89	21.84	3.39	2.75	6.24	JUNTOS
2	58.02	19.56	18.19	1.95	2.29	38.46	JUNTOS
3	35.66	35.59	21.51	4.17	3.07	0.07	JUNTOS
4	30.68	39.47	22.33	4.29	3.23	-8.78	UP
5	37.67	37.01	17.93	4.19	3.20	0.66	JUNTOS
6	44.96	32.14	16.42	3.45	3.03	12.82	JUNTOS
7	37.18	34.26	21.60	3.73	3.22	2.92	JUNTOS
8	24.93	41.25	26.63	4.10	3.10	-16.32	UP
9	33.76	35.40	23.05	4.13	3.65	-1.64	UP
10	37.69	33.63	20.70	4.24	3.74	4.07	JUNTOS
11	41.57	31.48	19.63	3.84	3.48	10.09	JUNTOS
12	43.68	30.89	18.47	3.58	3.38	12.78	JUNTOS
13	54.34	23.35	17.20	2.42	2.69	30.99	JUNTOS
14	54.12	23.71	17.33	2.42	2.42	30.41	JUNTOS
15	37.42	37.93	17.44	3.92	3.29	-0.50	UP
