circuito_n	JXC	UP	LLA	FIT	HACEMOS	ganador	quien gano en este circuito	diferencia
1	32.8	41.8	17.9	4.9	2.7	41.8	UP	-9.0
2	29.6	44.2	18.3	5.3	2.5	44.2	UP	-14.6
3	52.9	16.1	27.7	1.0	2.2	52.9	JXC	36.9
4	63.4	12.5	21.7	0.8	1.6	63.4	JXC	50.9
5	15.7	49.4	29.5	3.2	2.1	49.4	UP	-33.6
6	68.0	11.2	18.1	1.0	1.7	68.0	JXC	56.8
7	60.3	16.1	19.5	1.9	2.1	60.3	JXC	44.2
8	51.5	22.1	21.5	2.2	2.7	51.5	JXC	29.5
9	44.5	25.4	24.2	2.6	3.3	44.5	JXC	19.0
10	44.8	27.3	21.5	3.2	3.1	44.8	JXC	17.5
11	35.0	35.3	23.0	3.7	3.0	35.3	UP	-0.3
12	35.8	34.9	22.4	4.0	2.9	35.8	JXC	0.9
13	34.7	36.0	21.4	4.3	3.6	36.0	UP	-1.3
14	37.4	32.9	23.2	3.3	3.2	37.4	JXC	4.6
15	30.3	42.8	20.3	3.7	2.9	42.8	UP	-12.5
16	32.6	40.9	19.4	4.0	3.1	40.9	UP	-8.3
17	31.6	39.4	21.5	4.5	3.0	39.4	UP	-7.8
18	28.5	38.9	26.4	3.8	2.4	38.9	UP	-10.4
19	26.9	41.7	24.2	4.1	3.1	41.7	UP	-14.7
20	59.0	17.1	20.4	1.2	2.3	59.0	JXC	41.9
21	67.6	10.4	18.7	1.3	1.9	67.6	JXC	57.2
22	57.4	21.3	17.0	2.0	2.3	57.4	JXC	36.1
23	56.9	21.5	17.3	2.0	2.3	56.9	JXC	35.4
24	60.4	16.8	18.5	2.0	2.2	60.4	JXC	43.6
25	64.0	14.5	18.2	1.4	2.0	64.0	JXC	49.4
26	64.5	13.6	18.7	1.2	2.0	64.5	JXC	50.9
27	54.1	22.7	18.8	2.2	2.2	54.1	JXC	31.4
28	49.9	26.5	17.9	2.9	2.8	49.9	JXC	23.4
29	49.9	27.0	17.4	2.9	2.8	49.9	JXC	22.9
30	41.6	29.2	23.1	3.2	2.9	41.6	JXC	12.3
31	41.2	29.3	23.1	3.6	2.9	41.2	JXC	11.9
32	40.4	32.6	20.0	4.0	2.9	40.4	JXC	7.7
33	36.3	33.7	23.1	4.2	2.6	36.3	JXC	2.7
34	36.9	33.1	23.3	3.8	2.9	36.9	JXC	3.7
35	32.6	37.2	22.1	4.6	3.5	37.2	UP	-4.6
36	28.9	39.4	22.1	6.4	3.2	39.4	UP	-10.4
37	33.8	38.0	21.1	4.2	2.8	38.0	UP	-4.2
38	34.9	37.5	20.8	3.6	3.1	37.5	UP	-2.6
39	35.3	36.7	21.1	3.9	3.0	36.7	UP	-1.4
40	37.0	36.1	19.7	4.2	3.0	37.0	JXC	0.9
41	32.4	39.4	20.4	4.6	3.2	39.4	UP	-6.9
42	34.4	37.3	20.6	4.2	3.5	37.3	UP	-2.9
43	34.4	37.8	19.7	4.6	3.4	37.8	UP	-3.4
44	32.6	39.9	19.6	4.3	3.6	39.9	UP	-7.3
45	29.7	40.6	22.1	4.6	3.0	40.6	UP	-10.8
