provincia,departamento,agrupacion,votos
Ciudad Autónoma de Buenos Aires,Comuna 01,UNION POR LA PATRIA,38645
Buenos Aires,Lomas de Zamora,UNION POR LA PATRIA,195846
Ciudad Autónoma de Buenos Aires,Comuna 04,JUNTOS POR EL CAMBIO,39963
Ciudad Autónoma de Buenos Aires,Comuna 04,LA LIBERTAD AVANZA,29077
Ciudad Autónoma de Buenos Aires,Comuna 04,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,5586
Ciudad Autónoma de Buenos Aires,Comuna 04,HACEMOS POR NUESTRO PAIS,4211
Buenos Aires,Escobar,UNION POR LA PATRIA,63308
Buenos Aires,Esteban Echeverría,UNION POR LA PATRIA,82369
Buenos Aires,General Rodríguez,UNION POR LA PATRIA,31331
Buenos Aires,General San Martín,JUNTOS POR EL CAMBIO,62941
Buenos Aires,General San Martín,LA LIBERTAD AVANZA,63294
Buenos Aires,General San Martín,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,10200
Buenos Aires,General San Martín,HACEMOS POR NUESTRO PAIS,8584
Ciudad Autónoma de Buenos Aires,Comuna 05,UNION POR LA PATRIA,42504
Buenos Aires,Lanús,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,11609
Buenos Aires,Lanús,LA LIBERTAD AVANZA,58031
Buenos Aires,Lanús,JUNTOS POR EL CAMBIO,75390
Buenos Aires,Lanús,HACEMOS POR NUESTRO PAIS,8784
Buenos Aires,Azul,JUNTOS POR EL CAMBIO,11662
Buenos Aires,Azul,LA LIBERTAD AVANZA,13076
Buenos Aires,Azul,HACEMOS POR NUESTRO PAIS,2807
Buenos Aires,Azul,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1095
Buenos Aires,Bahía Blanca,UNION POR LA PATRIA,52967
Buenos Aires,Florencio Varela,UNION POR LA PATRIA,138034
Buenos Aires,Ramallo,UNION POR LA PATRIA,9182
Ciudad Autónoma de Buenos Aires,Comuna 08,JUNTOS POR EL CAMBIO,26068
Ciudad Autónoma de Buenos Aires,Comuna 08,LA LIBERTAD AVANZA,27845
Ciudad Autónoma de Buenos Aires,Comuna 08,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4285
Ciudad Autónoma de Buenos Aires,Comuna 08,HACEMOS POR NUESTRO PAIS,3238
Buenos Aires,Baradero,UNION POR LA PATRIA,10528
Ciudad Autónoma de Buenos Aires,Comuna 09,LA LIBERTAD AVANZA,25544
Ciudad Autónoma de Buenos Aires,Comuna 09,JUNTOS POR EL CAMBIO,37413
Ciudad Autónoma de Buenos Aires,Comuna 09,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4578
Ciudad Autónoma de Buenos Aires,Comuna 09,HACEMOS POR NUESTRO PAIS,4047
Buenos Aires,Arrecifes,JUNTOS POR EL CAMBIO,5334
Buenos Aires,Arrecifes,LA LIBERTAD AVANZA,5902
Buenos Aires,Arrecifes,HACEMOS POR NUESTRO PAIS,1073
Buenos Aires,Arrecifes,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,252
Buenos Aires,Tigre,UNION POR LA PATRIA,104456
Buenos Aires,Malvinas Argentinas,UNION POR LA PATRIA,108950
Buenos Aires,Punta Indio,UNION POR LA PATRIA,2580
Buenos Aires,Pergamino,LA LIBERTAD AVANZA,21187
Buenos Aires,Pergamino,JUNTOS POR EL CAMBIO,21934
Buenos Aires,Pergamino,HACEMOS POR NUESTRO PAIS,4220
Buenos Aires,Pergamino,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1352
Córdoba,Marcos Juárez,LA LIBERTAD AVANZA,23803
Córdoba,Marcos Juárez,JUNTOS POR EL CAMBIO,18171
Córdoba,Marcos Juárez,HACEMOS POR NUESTRO PAIS,16296
Córdoba,Marcos Juárez,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,691
Corrientes,Capital,HACEMOS POR NUESTRO PAIS,6272
Corrientes,Capital,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3317
Corrientes,Capital,JUNTOS POR EL CAMBIO,87094
Corrientes,Capital,LA LIBERTAD AVANZA,77547
Córdoba,Santa María,UNION POR LA PATRIA,10561
Córdoba,Capital,HACEMOS POR NUESTRO PAIS,250854
Córdoba,Capital,LA LIBERTAD AVANZA,275445
Córdoba,Capital,JUNTOS POR EL CAMBIO,202260
Córdoba,Capital,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,14031
Buenos Aires,Tres Arroyos,JUNTOS POR EL CAMBIO,10639
Buenos Aires,Tres Arroyos,LA LIBERTAD AVANZA,11083
Buenos Aires,Tres Arroyos,HACEMOS POR NUESTRO PAIS,2569
Buenos Aires,Tres Arroyos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1002
Córdoba,San Javier,HACEMOS POR NUESTRO PAIS,10096
Córdoba,San Javier,LA LIBERTAD AVANZA,12536
Córdoba,San Javier,JUNTOS POR EL CAMBIO,6935
Córdoba,San Javier,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,764
Buenos Aires,Ituzaingó,JUNTOS POR EL CAMBIO,29404
Buenos Aires,Ituzaingó,LA LIBERTAD AVANZA,26170
Buenos Aires,Ituzaingó,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4688
Buenos Aires,Ituzaingó,HACEMOS POR NUESTRO PAIS,4168
Córdoba,Río Cuarto,UNION POR LA PATRIA,22474
Buenos Aires,Pinamar,JUNTOS POR EL CAMBIO,5968
Buenos Aires,Pinamar,LA LIBERTAD AVANZA,7653
Buenos Aires,Pinamar,HACEMOS POR NUESTRO PAIS,862
Buenos Aires,Pinamar,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,551
Buenos Aires,Puan,UNION POR LA PATRIA,2232
Córdoba,Pocho,UNION POR LA PATRIA,454
Entre Ríos,Victoria,LA LIBERTAD AVANZA,7684
Entre Ríos,Victoria,JUNTOS POR EL CAMBIO,5989
Entre Ríos,Victoria,HACEMOS POR NUESTRO PAIS,1662
Entre Ríos,Victoria,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,268
Río Negro,Bariloche,LA LIBERTAD AVANZA,25169
Río Negro,Bariloche,JUNTOS POR EL CAMBIO,18494
Río Negro,Bariloche,HACEMOS POR NUESTRO PAIS,7577
Río Negro,Bariloche,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4859
Río Negro,Pichi Mahuida,UNION POR LA PATRIA,3296
Neuquén,Confluencia,JUNTOS POR EL CAMBIO,59268
Neuquén,Confluencia,HACEMOS POR NUESTRO PAIS,16202
Neuquén,Confluencia,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,15565
Neuquén,Confluencia,LA LIBERTAD AVANZA,104272
Buenos Aires,Monte Hermoso,UNION POR LA PATRIA,2672
Córdoba,Río Primero,UNION POR LA PATRIA,3611
Salta,Cerrillos,HACEMOS POR NUESTRO PAIS,2091
Salta,Cerrillos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,593
Salta,Cerrillos,LA LIBERTAD AVANZA,15011
Salta,Cerrillos,JUNTOS POR EL CAMBIO,4304
Santa Fe,Rosario,JUNTOS POR EL CAMBIO,203995
Santa Fe,Rosario,LA LIBERTAD AVANZA,219820
Santa Fe,Rosario,HACEMOS POR NUESTRO PAIS,54449
Santa Fe,Rosario,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,19504
La Pampa,Capital,JUNTOS POR EL CAMBIO,14386
La Pampa,Capital,HACEMOS POR NUESTRO PAIS,5851
La Pampa,Capital,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2115
La Pampa,Capital,LA LIBERTAD AVANZA,20923
Entre Ríos,Gualeguay,JUNTOS POR EL CAMBIO,10665
Entre Ríos,Gualeguay,LA LIBERTAD AVANZA,11355
Entre Ríos,Gualeguay,HACEMOS POR NUESTRO PAIS,1993
Entre Ríos,Gualeguay,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,555
La Pampa,Caleu Caleu,UNION POR LA PATRIA,644
La Pampa,Chalileo,UNION POR LA PATRIA,916
La Pampa,Conhelo,LA LIBERTAD AVANZA,3520
La Pampa,Conhelo,JUNTOS POR EL CAMBIO,2119
La Pampa,Conhelo,HACEMOS POR NUESTRO PAIS,678
La Pampa,Conhelo,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,161
La Pampa,Curacó,LA LIBERTAD AVANZA,147
La Pampa,Curacó,JUNTOS POR EL CAMBIO,82
La Pampa,Curacó,HACEMOS POR NUESTRO PAIS,20
La Pampa,Curacó,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,17
Misiones,San Ignacio,LA LIBERTAD AVANZA,14618
Misiones,San Ignacio,JUNTOS POR EL CAMBIO,4621
Misiones,San Ignacio,HACEMOS POR NUESTRO PAIS,1290
Misiones,San Ignacio,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,357
Mendoza,Tupungato,LA LIBERTAD AVANZA,11457
Mendoza,Tupungato,JUNTOS POR EL CAMBIO,3679
Mendoza,Tupungato,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,610
Mendoza,Tupungato,HACEMOS POR NUESTRO PAIS,928
Entre Ríos,Tala,JUNTOS POR EL CAMBIO,5647
Entre Ríos,Tala,LA LIBERTAD AVANZA,5070
Entre Ríos,Tala,HACEMOS POR NUESTRO PAIS,873
Entre Ríos,Tala,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,224
Entre Ríos,Uruguay,JUNTOS POR EL CAMBIO,19975
Entre Ríos,Uruguay,LA LIBERTAD AVANZA,20271
Entre Ríos,Uruguay,HACEMOS POR NUESTRO PAIS,4299
Entre Ríos,Uruguay,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1479
Salta,General José de San Martín,UNION POR LA PATRIA,50297
La Pampa,Hucal,LA LIBERTAD AVANZA,1906
La Pampa,Hucal,JUNTOS POR EL CAMBIO,1496
